Correlation,Transition,Shifting,Seasonality,Trend,Stationarity,Short_term_jsd,Long_term_jsd
,0.009773662551440328,0.5059681949294064,0.6430124813986693,0.035343747328416275,1.0359617536162726e-12,0.07216807689459698,0.10533375854935041
,0.08000000000000002,0.15192804007894334,0.8732071073848474,0.9744844689750037,2.1485277355859802e-13,0.06983500273220714,0.06305168039856868
,0.08000000000000002,0.15739335053894044,0.8693065631109265,0.9741990802446964,1.8799618641198949e-13,0.07148992921369707,0.06431226860840819
,0.0625,0.21639213602550478,0.5308541325457751,0.7868182168936693,1.1393971043149404e-08,0.07822910314612012,0.08478826286884186
,0.0045112036486218525,0.4808049946865036,0.8079256726500512,0.8724424353863396,8.042519204906962e-30,0.11499832903196117,0.09207473240808266
,0.08000000000000002,0.1670525277060877,0.872997670293479,0.9645842396227181,6.305834826628229e-16,0.07991326886908566,0.06828321394372999
,0.0625,0.21711325337786547,0.5133867775514238,0.7692971108789246,7.394846211169494e-08,0.10467714118112852,0.0913322231364648
,0.0038699924414210126,0.1408645817519356,0.8441132697393553,0.8801561928525677,1.6601746935077063e-29,0.11623760894026283,0.10028575037422638
,0.0625,0.2171512069227266,0.5137394259896542,0.7669533520104378,6.582382732124233e-08,0.14917726765933736,0.09859788501797263
,0.0625,0.21717967208137245,0.5139087044857955,0.7673959005764255,6.649583253955395e-08,0.10279628258420778,0.09172486779037148
,0.0625,0.5389782905723395,0.851272453369837,0.9769141953939604,3.260294278162172e-12,0.06605791258102098,0.06460283472363249
,0.006797410613355301,0.396064217397905,0.3609841263445901,0.3752210926609072,0.0,0.039553194205715965,0.03571074123426077
,0.0015663491249804204,0.5152857901928041,0.5877955557564288,0.16184303548670975,0.0,0.03877947122721904,0.03275037172923493
,0.007358045258919892,0.058467435858509165,0.4054026369913313,0.07779055494203257,2.317225124963275e-30,0.11000639322970625,0.07769892317923666
,0.2872167820027241,0.2277781994838317,0.3730936284660922,0.5994402641625768,0.0,0.10181041027685071,0.33290001598688734
,0.20703575547866201,0.035107028996508305,0.37350852328546247,0.07866682610145204,0.0,0.14284718545593056,0.42014961882624563
,0.005776341043385113,0.06347730378017302,0.8758746556608962,0.6596875656923684,0.0,0.2205826935396925,0.2777858351051473
,0.005779223736789337,0.056835433429482274,0.882851066899022,0.6715144556351718,0.0,0.20694340473839726,0.27427409926122626
,0.005306269838936232,0.04565811446789125,0.7391943448594656,0.3974198133087242,0.0,0.2176656967261879,0.28101271155334445
,0.04000000000000001,0.1572415363594959,0.8870663129607013,0.9713877318185468,6.373717957518481e-14,0.07583453869223751,0.06555691954541396
,0.006986810402434215,0.26314141490815246,0.3725482317113724,0.8671361674218527,0.0,0.13842133428495207,0.09212226339314494
